domain_id,name,type,asset_ref,decimals,underlying_asset_id,loan_amount,loan_start,loan_end
ethereum,USDC,Fungible,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,,,,
ethereum,USDT,Fungible,0xdac17f958d2ee523a2206206994597c13d831ec7,6,,,,
ethereum,DAI,Fungible,0x6b175474e89094c44da98b954eedeac495271d0f,18,,,,
ethereum,USDS,Fungible,0xdc035d45d973e3ec169d2276ddab16f1e407384f,18,,,,
ethereum,sUSDS,Fungible,0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,18,,,,
ethereum,sDAI,Fungible,0x83f20f44975d03b1b09e64809b757c47f942beea,18,,,,
ethereum,PYUSD,Fungible,0x6c3ea9036406852006290770bedfcaba0e23a0e8,6,,,,
ethereum,WETH,Fungible,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,,,,
ethereum,wstETH,Fungible,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,18,,,,
ethereum,rETH,Fungible,0xae78736cd615f374d3085123a210448e74fc6393,18,,,,
ethereum,weETH,Fungible,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,18,,,,
ethereum,ezETH,Fungible,0xbf5495efe5db9ce00f80364c8b423567e58d2110,18,,,,
ethereum,rsETH,Fungible,0xa1290d69c65a6fe4df752f95823fae25cb99e5a7,18,,,,
ethereum,WBTC,Fungible,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,,,,
ethereum,cbBTC,Fungible,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,8,,,,
ethereum,LBTC,Fungible,0x8236a87084f8b84306f72007f36f2618a5634494,8,,,,
ethereum,tBTC,Fungible,0x18084fba666a33d37592fa2633fd49a74dd93a88,18,,,,
ethereum,GNO,Fungible,0x6810e776880c02933d47db1b9fc05908e5386b96,18,,,,
ethereum,spkUSDC,Fungible,sparklend_a_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,
ethereum,spkUSDT,Fungible,sparklend_a_0xdac17f958d2ee523a2206206994597c13d831ec7,6,0xdac17f958d2ee523a2206206994597c13d831ec7,,,
ethereum,spkDAI,Fungible,sparklend_a_0x6b175474e89094c44da98b954eedeac495271d0f,18,0x6b175474e89094c44da98b954eedeac495271d0f,,,
ethereum,spkUSDS,Fungible,sparklend_a_0xdc035d45d973e3ec169d2276ddab16f1e407384f,18,0xdc035d45d973e3ec169d2276ddab16f1e407384f,,,
ethereum,spksUSDS,Fungible,sparklend_a_0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,18,0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,,,
ethereum,spksDAI,Fungible,sparklend_a_0x83f20f44975d03b1b09e64809b757c47f942beea,18,0x83f20f44975d03b1b09e64809b757c47f942beea,,,
ethereum,spkPYUSD,Fungible,sparklend_a_0x6c3ea9036406852006290770bedfcaba0e23a0e8,6,0x6c3ea9036406852006290770bedfcaba0e23a0e8,,,
ethereum,spkWETH,Fungible,sparklend_a_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,
ethereum,spkwstETH,Fungible,sparklend_a_0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,18,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,,,
ethereum,spkrETH,Fungible,sparklend_a_0xae78736cd615f374d3085123a210448e74fc6393,18,0xae78736cd615f374d3085123a210448e74fc6393,,,
ethereum,spkweETH,Fungible,sparklend_a_0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,18,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,,,
ethereum,spkezETH,Fungible,sparklend_a_0xbf5495efe5db9ce00f80364c8b423567e58d2110,18,0xbf5495efe5db9ce00f80364c8b423567e58d2110,,,
