entity_id,name,parent_entity_id,external,type
sky,Sky,,false,Sky
spark,Spark,,false,Prime
sparklend,SparkLend,spark,false,Prime
grove,Grove,,false,Prime
obex,Obex,,false,Prime
river,River,,false,Halo
arkis,Arkis,,false,Halo
anchorage,Anchorage,,true,Halo
galaxy,Galaxy,,true,Halo
circle,Circle,,true,Fintech
paxos,Paxos,,true,Fintech
binance,Binance,,true,Exchange
coinbase,Coinbase,,true,Exchange
b2c2,B2C2,,true,Exchange
selini,Selini,,true,Exchange
maple,Maple,,true,Halo
centrifuge,Centrifuge,,true,Halo
steakhouse,Steakhouse,,true,Halo
morpho,Morpho,,true,Halo
aave,Aave,,true,Halo
user,User,,true,User
